Destination Name,State,Region,Category,Popular Attraction,Accessibility,Nearest Airport,Nearest Railway Station
Taj Mahal,Uttar Pradesh,North,Heritage,Taj Mahal,Easy,Agra Civil Enclave,Agra Cantt
Jaipur,Rajasthan,West,Heritage,Amber Fort,Easy,Jaipur International,Jaipur Junction
Goa,Goa,West,Beach,Calangute Beach,Easy,Dabolim Airport,Madgaon Railway Station
Kerala Backwaters,Kerala,South,Nature,Vembanad Lake,Moderate,Cochin International,Alleppey
Varanasi,Uttar Pradesh,North,Religious,Ghats of Varanasi,Moderate,Lal Bahadur Shastri,Varanasi Junction
Manali,Himachal Pradesh,North,Adventure,Solang Valley,Difficult,Bhuntar Airport,Joginder Nagar
Sundarbans,West Bengal,East,Nature,Sundarbans National Park,Difficult,Netaji Subhas Chandra Bose,Canning
Amritsar,Punjab,North,Religious,Golden Temple,Easy,Sri Guru Ram Dass Jee,Amritsar Junction
Mahabalipuram,Tamil Nadu,South,Heritage,Shore Temple,Easy,Chennai International,Chengalpattu
Andaman Islands,Andaman and Nicobar,East,Beach,Radhanagar Beach,Moderate,Veer Savarkar International,Port Blair
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate,Jorhat Airport,Furkating
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy,Mysore Airport,Mysore
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate,Jaisalmer Airport,Jaisalmer
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult,Dehradun Airport,Rishikesh
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy,Shimla Airport,Shimla
Udaipur,Rajasthan,West,Heritage,City Palace,Easy,Udaipur Airport,Udaipur City
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate,Bagdogra Airport,Darjeeling
Munnar,Kerala,South,Nature,Tea Gardens,Moderate,Cochin International,Ernakulam
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate,Aurangabad Airport,Aurangabad
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult,Shillong Airport,Guwahati
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate,Jorhat Airport,Furkating
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy,Mysore Airport,Mysore
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate,Jaisalmer Airport,Jaisalmer
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult,Dehradun Airport,Rishikesh
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy,Shimla Airport,Shimla
Udaipur,Rajasthan,West,Heritage,City Palace,Easy,Udaipur Airport,Udaipur City
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate,Bagdogra Airport,Darjeeling
Munnar,Kerala,South,Nature,Tea Gardens,Moderate,Cochin International,Ernakulam
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate,Aurangabad Airport,Aurangabad
